"Goal","Steps on Grass","Moral Judgment","Sign"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,97,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,90,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,71,"Keep Off The Grass"
"Pain",7,13,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,86,"Keep Off The Grass"
"Pain",7,80,"Keep Off The Grass"
"Pain",7,99,"Keep Off The Grass"
"Pain",7,60,"Keep Off The Grass"
"Pain",7,90,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,97,"Keep Off The Grass"
"Pain",7,80,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,50,"Keep Off The Grass"
"Pain",7,73,"Keep Off The Grass"
"Pain",7,70,"Keep Off The Grass"
"Pain",7,96,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,94,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,10,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,7,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,50,"Keep Off The Grass"
"Pain",7,82,"Keep Off The Grass"
"Pain",7,72,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,91,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,83,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,74,"Keep Off The Grass"
"Pain",7,88,"Keep Off The Grass"
"Pain",7,100,"Keep Off The Grass"
"Pain",7,35,"Keep Off The Grass"
"Ice Cream",7,27,"Keep Off The Grass"
"Ice Cream",7,37,"Keep Off The Grass"
"Ice Cream",7,52,"Keep Off The Grass"
"Ice Cream",7,100,"Keep Off The Grass"
"Ice Cream",7,4,"Keep Off The Grass"
"Ice Cream",7,77,"Keep Off The Grass"
"Ice Cream",7,23,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,78,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,6,"Keep Off The Grass"
"Ice Cream",7,25,"Keep Off The Grass"
"Ice Cream",7,6,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,34,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,25,"Keep Off The Grass"
"Ice Cream",7,100,"Keep Off The Grass"
"Ice Cream",7,6,"Keep Off The Grass"
"Ice Cream",7,4,"Keep Off The Grass"
"Ice Cream",7,3,"Keep Off The Grass"
"Ice Cream",7,22,"Keep Off The Grass"
"Ice Cream",7,33,"Keep Off The Grass"
"Ice Cream",7,60,"Keep Off The Grass"
"Ice Cream",7,13,"Keep Off The Grass"
"Ice Cream",7,13,"Keep Off The Grass"
"Ice Cream",7,2,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,95,"Keep Off The Grass"
"Ice Cream",7,4,"Keep Off The Grass"
"Ice Cream",7,6,"Keep Off The Grass"
"Ice Cream",7,46,"Keep Off The Grass"
"Ice Cream",7,50,"Keep Off The Grass"
"Ice Cream",7,18,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
"Ice Cream",7,33,"Keep Off The Grass"
"Ice Cream",7,50,"Keep Off The Grass"
"Ice Cream",7,0,"Keep Off The Grass"
