myopia,shortcutiness,probability,goal,grass_capacity,population
0.0,0.0,2.6066566371414766e-06,a friend,100,100
0.0,0.010101010101010102,7.971585914945973e-06,a friend,100,100
0.0,0.020202020202020204,7.261978098753502e-07,a friend,100,100
0.0,0.030303030303030304,3.994273034991509e-06,a friend,100,100
0.0,0.04040404040404041,3.2517076596810325e-07,a friend,100,100
0.0,0.05050505050505051,1.021544526874757e-05,a friend,100,100
0.0,0.06060606060606061,1.1779695965710866e-06,a friend,100,100
0.0,0.07070707070707072,1.9526867994778145e-07,a friend,100,100
0.0,0.08080808080808081,1.0387687055567647e-06,a friend,100,100
0.0,0.09090909090909091,1.9143517050494293e-06,a friend,100,100
0.0,0.10101010101010102,1.1063466531286984e-06,a friend,100,100
0.0,0.11111111111111112,3.400909504042565e-06,a friend,100,100
0.0,0.12121212121212122,1.1547876750100578e-05,a friend,100,100
0.0,0.13131313131313133,4.213187504470405e-06,a friend,100,100
0.0,0.14141414141414144,9.198962300564866e-07,a friend,100,100
0.0,0.15151515151515152,2.4242916753703798e-06,a friend,100,100
0.0,0.16161616161616163,5.919233253590917e-06,a friend,100,100
0.0,0.17171717171717174,5.596370306959611e-07,a friend,100,100
0.0,0.18181818181818182,1.2730369560302354e-06,a friend,100,100
0.0,0.19191919191919193,7.842808406714322e-07,a friend,100,100
0.0,0.20202020202020204,1.6106706921765948e-06,a friend,100,100
0.0,0.21212121212121213,1.7059856295687074e-10,a friend,100,100
0.0,0.22222222222222224,3.424394390442539e-19,a friend,100,100
0.0,0.23232323232323235,5.574408041757777e-15,a friend,100,100
0.0,0.24242424242424243,9.586454233560917e-19,a friend,100,100
0.0,0.25252525252525254,8.911176865516858e-41,a friend,100,100
0.0,0.26262626262626265,1.480466469315174e-41,a friend,100,100
0.0,0.27272727272727276,1.694388625200616e-49,a friend,100,100
0.0,0.2828282828282829,6.654894462659517e-50,a friend,100,100
0.0,0.29292929292929293,8.292301470261488e-49,a friend,100,100
0.0,0.30303030303030304,9.410978247262995e-50,a friend,100,100
