myopia,shortcutiness,probability,goal,grass_capacity,population
0.0,0.0,2.2400503689765643e-09,a friend,100,100
0.0,0.010101010101010102,9.888432887034721e-09,a friend,100,100
0.0,0.020202020202020204,1.7868369715537347e-09,a friend,100,100
0.0,0.030303030303030304,1.5863964073190631e-09,a friend,100,100
0.0,0.04040404040404041,1.010907794332944e-08,a friend,100,100
0.0,0.05050505050505051,1.5992920566404341e-09,a friend,100,100
0.0,0.06060606060606061,2.774085976354217e-09,a friend,100,100
0.0,0.07070707070707072,6.842603284100365e-10,a friend,100,100
0.0,0.08080808080808081,4.64332400404721e-08,a friend,100,100
0.0,0.09090909090909091,8.835275587001423e-10,a friend,100,100
0.0,0.10101010101010102,6.141172625469116e-10,a friend,100,100
0.0,0.11111111111111112,4.777878819989844e-09,a friend,100,100
0.0,0.12121212121212122,1.7490347303454315e-09,a friend,100,100
0.0,0.13131313131313133,1.3699954441808977e-09,a friend,100,100
0.0,0.14141414141414144,2.146963632448944e-09,a friend,100,100
0.0,0.15151515151515152,3.6591181747448615e-08,a friend,100,100
0.0,0.16161616161616163,5.290053075648774e-10,a friend,100,100
0.0,0.17171717171717174,3.5718467548549993e-09,a friend,100,100
0.0,0.18181818181818182,2.9376999008491086e-09,a friend,100,100
0.0,0.19191919191919193,2.9688053220627556e-09,a friend,100,100
0.0,0.20202020202020204,4.772943817309219e-09,a friend,100,100
0.0,0.21212121212121213,1.5204241388023033e-08,a friend,100,100
0.0,0.22222222222222224,3.1990528601534985e-10,a friend,100,100
0.0,0.23232323232323235,1.1686034176715033e-09,a friend,100,100
0.0,0.24242424242424243,1.4580221235443254e-18,a friend,100,100
0.0,0.25252525252525254,6.42758367263197e-23,a friend,100,100
0.0,0.26262626262626265,1.431764036162131e-26,a friend,100,100
0.0,0.27272727272727276,5.096970176087104e-31,a friend,100,100
0.0,0.2828282828282829,3.427581046538518e-39,a friend,100,100
0.0,0.29292929292929293,6.214090901788358e-39,a friend,100,100
0.0,0.30303030303030304,3.2877553899616646e-48,a friend,100,100
0.0,0.31313131313131315,1.4420399504851169e-52,a friend,100,100
0.0,0.32323232323232326,2.5660618846311614e-52,a friend,100,100
0.0,0.33333333333333337,5.108366462095433e-52,a friend,100,100
0.0,0.3434343434343435,7.641910451512633e-53,a friend,100,100
0.0,0.3535353535353536,3.970163682426391e-53,a friend,100,100
0.0,0.36363636363636365,2.283049192925574e-48,a friend,100,100
0.0,0.37373737373737376,1.3495724141972174e-52,a friend,100,100
0.0,0.38383838383838387,5.680785414363013e-53,a friend,100,100
0.0,0.393939393939394,2.666567271833107e-52,a friend,100,100
0.0,0.4040404040404041,7.222328981822171e-52,a friend,100,100
0.0,0.4141414141414142,9.706559288245522e-52,a friend,100,100
0.0,0.42424242424242425,1.3284739699258962e-52,a friend,100,100
0.0,0.43434343434343436,8.983425662123235e-53,a friend,100,100
0.0,0.4444444444444445,2.6411295748109887e-52,a friend,100,100
0.0,0.4545454545454546,1.2091259687397911e-51,a friend,100,100
0.0,0.4646464646464647,4.1753052963567523e-53,a friend,100,100
0.0,0.4747474747474748,5.114093606790769e-53,a friend,100,100
0.0,0.48484848484848486,2.153824012153837e-52,a friend,100,100
0.0,0.494949494949495,1.2969570569466124e-52,a friend,100,100
0.0,0.5050505050505051,7.522336152607851e-52,a friend,100,100
0.0,0.5151515151515152,3.054535343420201e-53,a friend,100,100
0.0,0.5252525252525253,2.930553195846514e-51,a friend,100,100
0.0,0.5353535353535354,5.231196918926876e-52,a friend,100,100
0.0,0.5454545454545455,8.315122745628997e-52,a friend,100,100
0.0,0.5555555555555556,2.7350836769122423e-53,a friend,100,100
0.0,0.5656565656565657,2.0678009309447295e-52,a friend,100,100
0.0,0.5757575757575758,1.233358722626613e-52,a friend,100,100
0.0,0.5858585858585859,1.3475614525604016e-52,a friend,100,100
0.0,0.595959595959596,6.619165918744215e-53,a friend,100,100
0.0,0.6060606060606061,8.324459074823975e-53,a friend,100,100
0.0,0.6161616161616162,2.5012911866118116e-52,a friend,100,100
0.0,0.6262626262626263,2.0990101972449416e-52,a friend,100,100
0.0,0.6363636363636365,3.9660152009739475e-53,a friend,100,100
0.0,0.6464646464646465,6.759884819850751e-53,a friend,100,100
0.0,0.6565656565656566,1.1303301968182882e-51,a friend,100,100
0.0,0.6666666666666667,3.146965363878208e-52,a friend,100,100
0.0,0.6767676767676768,8.41256441195281e-53,a friend,100,100
0.0,0.686868686868687,5.238921429036683e-53,a friend,100,100
0.0,0.696969696969697,2.2726852467887637e-52,a friend,100,100
0.0,0.7070707070707072,1.3352987524746205e-51,a friend,100,100
0.0,0.7171717171717172,5.781255279471535e-52,a friend,100,100
0.0,0.7272727272727273,1.865981793376225e-52,a friend,100,100
0.0,0.7373737373737375,2.4491298648066476e-53,a friend,100,100
0.0,0.7474747474747475,1.0449272329968271e-52,a friend,100,100
0.0,0.7575757575757577,1.9861473605937037e-53,a friend,100,100
0.0,0.7676767676767677,3.3219129588082737e-52,a friend,100,100
0.0,0.7777777777777778,1.672753416155762e-52,a friend,100,100
0.0,0.787878787878788,2.1896660541686994e-52,a friend,100,100
0.0,0.797979797979798,1.0260313723010533e-52,a friend,100,100
0.0,0.8080808080808082,9.727844620206327e-53,a friend,100,100
0.0,0.8181818181818182,7.406542547630765e-52,a friend,100,100
0.0,0.8282828282828284,1.0461318405295194e-52,a friend,100,100
0.0,0.8383838383838385,1.5550652187277115e-52,a friend,100,100
0.0,0.8484848484848485,1.3628485401243381e-52,a friend,100,100
0.0,0.8585858585858587,5.517846582749029e-53,a friend,100,100
0.0,0.8686868686868687,4.188429165534092e-53,a friend,100,100
0.0,0.8787878787878789,2.9414773336406102e-52,a friend,100,100
0.0,0.888888888888889,1.5758141498472867e-51,a friend,100,100
0.0,0.8989898989898991,2.2839468659246624e-51,a friend,100,100
0.0,0.9090909090909092,1.3011411628164335e-52,a friend,100,100
0.0,0.9191919191919192,5.4400831206017744e-52,a friend,100,100
0.0,0.9292929292929294,3.49004771463841e-53,a friend,100,100
0.0,0.9393939393939394,9.69930323072934e-53,a friend,100,100
0.0,0.9494949494949496,4.795933706902237e-53,a friend,100,100
0.0,0.9595959595959597,8.442517430014637e-53,a friend,100,100
0.0,0.9696969696969697,2.246091222362872e-52,a friend,100,100
0.0,0.9797979797979799,1.3392549429647668e-52,a friend,100,100
0.0,0.98989898989899,1.240316172814539e-52,a friend,100,100
0.0,1.0,1.3107853403425217e-51,a friend,100,100
0.010101010101010102,0.0,1.0825937443962242e-09,a friend,100,100
0.010101010101010102,0.010101010101010102,9.623374019519017e-09,a friend,100,100
0.010101010101010102,0.020202020202020204,3.0144215254581903e-09,a friend,100,100
0.010101010101010102,0.030303030303030304,9.130716639455769e-10,a friend,100,100
0.010101010101010102,0.04040404040404041,4.645943159288e-09,a friend,100,100
0.010101010101010102,0.05050505050505051,8.976872385403247e-09,a friend,100,100
0.010101010101010102,0.06060606060606061,3.807528458838493e-09,a friend,100,100
0.010101010101010102,0.07070707070707072,2.677202131801142e-09,a friend,100,100
0.010101010101010102,0.08080808080808081,9.273638704957961e-10,a friend,100,100
0.010101010101010102,0.09090909090909091,2.372487697337751e-08,a friend,100,100
0.010101010101010102,0.10101010101010102,1.9746507442229493e-09,a friend,100,100
0.010101010101010102,0.11111111111111112,5.803642837540236e-09,a friend,100,100
0.010101010101010102,0.12121212121212122,4.127861238853784e-09,a friend,100,100
0.010101010101010102,0.13131313131313133,3.83151712359358e-09,a friend,100,100
0.010101010101010102,0.14141414141414144,1.2627533016756155e-09,a friend,100,100
0.010101010101010102,0.15151515151515152,1.2343629057920867e-09,a friend,100,100
0.010101010101010102,0.16161616161616163,4.274579744785133e-10,a friend,100,100
0.010101010101010102,0.17171717171717174,3.8750997225083156e-10,a friend,100,100
0.010101010101010102,0.18181818181818182,1.3177327594914436e-09,a friend,100,100
0.010101010101010102,0.19191919191919193,6.160263244405047e-10,a friend,100,100
0.010101010101010102,0.20202020202020204,7.417999393235572e-09,a friend,100,100
0.010101010101010102,0.21212121212121213,2.6135613897181626e-09,a friend,100,100
0.010101010101010102,0.22222222222222224,2.841520658291003e-13,a friend,100,100
0.010101010101010102,0.23232323232323235,5.660179663013566e-09,a friend,100,100
0.010101010101010102,0.24242424242424243,2.45409046750486e-13,a friend,100,100
0.010101010101010102,0.25252525252525254,5.524462452207107e-18,a friend,100,100
0.010101010101010102,0.26262626262626265,2.115257351772238e-22,a friend,100,100
0.010101010101010102,0.27272727272727276,4.939551999562096e-43,a friend,100,100
0.010101010101010102,0.2828282828282829,1.6252554157108089e-22,a friend,100,100
0.010101010101010102,0.29292929292929293,1.5386188672400063e-47,a friend,100,100
0.010101010101010102,0.30303030303030304,7.268064557530707e-44,a friend,100,100
0.010101010101010102,0.31313131313131315,6.300541549613762e-40,a friend,100,100
0.010101010101010102,0.32323232323232326,1.5926759716989913e-47,a friend,100,100
0.010101010101010102,0.33333333333333337,1.4737559244019972e-51,a friend,100,100
0.010101010101010102,0.3434343434343435,1.6084251994497103e-51,a friend,100,100
0.010101010101010102,0.3535353535353536,2.840513521057484e-48,a friend,100,100
0.010101010101010102,0.36363636363636365,5.764404881060684e-53,a friend,100,100
0.010101010101010102,0.37373737373737376,6.0580181542468465e-52,a friend,100,100
0.010101010101010102,0.38383838383838387,4.473764620135945e-53,a friend,100,100
0.010101010101010102,0.393939393939394,2.6503278615950897e-52,a friend,100,100
0.010101010101010102,0.4040404040404041,2.3818206449401064e-51,a friend,100,100
