myopia,shortcutiness,probability,goal,grass_capacity,population
0.0,0.0,0.019040039530994642,ice cream,200,100
0.0,0.010101010101010102,0.009874444249730826,ice cream,200,100
0.0,0.020202020202020204,0.0072991237643326694,ice cream,200,100
0.0,0.030303030303030304,0.018815889580661774,ice cream,200,100
0.0,0.04040404040404041,0.007016484472221393,ice cream,200,100
0.0,0.05050505050505051,0.014753251798774132,ice cream,200,100
0.0,0.06060606060606061,0.006430869735896881,ice cream,200,100
0.0,0.07070707070707072,0.033011397543196035,ice cream,200,100
0.0,0.08080808080808081,0.015859547649200025,ice cream,200,100
0.0,0.09090909090909091,0.0206361806396563,ice cream,200,100
0.0,0.10101010101010102,0.0333042751404803,ice cream,200,100
0.0,0.11111111111111112,0.00524921977007289,ice cream,200,100
0.0,0.12121212121212122,0.01731728604379882,ice cream,200,100
0.0,0.13131313131313133,0.017170977562720128,ice cream,200,100
0.0,0.14141414141414144,0.017165206881074844,ice cream,200,100
0.0,0.15151515151515152,0.0097349295246768,ice cream,200,100
0.0,0.16161616161616163,0.016754479459512132,ice cream,200,100
0.0,0.17171717171717174,0.008889939645709211,ice cream,200,100
0.0,0.18181818181818182,0.024670709247936774,ice cream,200,100
0.0,0.19191919191919193,0.01100007861958272,ice cream,200,100
0.0,0.20202020202020204,0.03839087126106501,ice cream,200,100
0.0,0.21212121212121213,0.011510398469197079,ice cream,200,100
0.0,0.22222222222222224,0.02958690052308127,ice cream,200,100
0.0,0.23232323232323235,0.017165945303344175,ice cream,200,100
0.0,0.24242424242424243,0.02122759083703467,ice cream,200,100
0.0,0.25252525252525254,0.02903465208857642,ice cream,200,100
0.0,0.26262626262626265,0.011697888889997286,ice cream,200,100
0.0,0.27272727272727276,7.13339796485285e-24,ice cream,200,100
0.0,0.2828282828282829,2.8965542710422723e-15,ice cream,200,100
0.0,0.29292929292929293,1.2835396648403715e-41,ice cream,200,100
0.0,0.30303030303030304,2.920306867644411e-41,ice cream,200,100
0.0,0.31313131313131315,1.0854032824992404e-45,ice cream,200,100
0.0,0.32323232323232326,1.3494497720642966e-41,ice cream,200,100
0.0,0.33333333333333337,1.0430313341545373e-45,ice cream,200,100
0.0,0.3434343434343435,1.2416791946889257e-45,ice cream,200,100
0.0,0.3535353535353536,2.0050956586620795e-45,ice cream,200,100
0.0,0.36363636363636365,2.3187464205544343e-46,ice cream,200,100
0.0,0.37373737373737376,3.370772568335716e-46,ice cream,200,100
0.0,0.38383838383838387,1.416748471305362e-45,ice cream,200,100
0.0,0.393939393939394,5.088013557644009e-46,ice cream,200,100
0.0,0.4040404040404041,4.604835277292223e-46,ice cream,200,100
0.0,0.4141414141414142,2.8041817248808846e-46,ice cream,200,100
0.0,0.42424242424242425,7.215449584562976e-46,ice cream,200,100
0.0,0.43434343434343436,3.0832066506529336e-45,ice cream,200,100
0.0,0.4444444444444445,7.517197633116583e-46,ice cream,200,100
0.0,0.4545454545454546,5.406638605053515e-46,ice cream,200,100
0.0,0.4646464646464647,3.588038736082848e-46,ice cream,200,100
0.0,0.4747474747474748,9.526357213604474e-46,ice cream,200,100
0.0,0.48484848484848486,9.438258589357699e-46,ice cream,200,100
0.0,0.494949494949495,6.743814427812513e-46,ice cream,200,100
0.0,0.5050505050505051,1.0530376949850166e-45,ice cream,200,100
0.0,0.5151515151515152,8.83482980997495e-46,ice cream,200,100
0.0,0.5252525252525253,2.0297712766674447e-46,ice cream,200,100
0.0,0.5353535353535354,8.172810488666822e-46,ice cream,200,100
0.0,0.5454545454545455,1.578769481817334e-45,ice cream,200,100
0.0,0.5555555555555556,5.889162369812317e-46,ice cream,200,100
0.0,0.5656565656565657,5.508968075179081e-46,ice cream,200,100
0.0,0.5757575757575758,4.434259545143502e-46,ice cream,200,100
0.0,0.5858585858585859,4.99963375413037e-46,ice cream,200,100
0.0,0.595959595959596,5.975860397115536e-46,ice cream,200,100
0.0,0.6060606060606061,7.92909063853624e-46,ice cream,200,100
0.0,0.6161616161616162,8.713535221580409e-46,ice cream,200,100
0.0,0.6262626262626263,2.6587749235620316e-46,ice cream,200,100
0.0,0.6363636363636365,1.2349058982261936e-46,ice cream,200,100
0.0,0.6464646464646465,3.131092693769608e-46,ice cream,200,100
0.0,0.6565656565656566,5.684359037647362e-46,ice cream,200,100
0.0,0.6666666666666667,4.550567505712214e-46,ice cream,200,100
0.0,0.6767676767676768,5.686724478943438e-46,ice cream,200,100
0.0,0.686868686868687,2.8424153853824483e-46,ice cream,200,100
0.0,0.696969696969697,8.194015639512302e-46,ice cream,200,100
0.0,0.7070707070707072,9.895711251378055e-46,ice cream,200,100
0.0,0.7171717171717172,7.611616244959681e-46,ice cream,200,100
0.0,0.7272727272727273,3.521581728171987e-46,ice cream,200,100
0.0,0.7373737373737375,2.837211342833445e-46,ice cream,200,100
0.0,0.7474747474747475,8.420671834326993e-46,ice cream,200,100
0.0,0.7575757575757577,1.264626528246398e-45,ice cream,200,100
0.0,0.7676767676767677,4.852108692030184e-46,ice cream,200,100
0.0,0.7777777777777778,8.897725584511442e-46,ice cream,200,100
0.0,0.787878787878788,1.4108243260418208e-45,ice cream,200,100
0.0,0.797979797979798,6.8501405138808e-46,ice cream,200,100
0.0,0.8080808080808082,7.634464707944422e-46,ice cream,200,100
0.0,0.8181818181818182,3.51447617637448e-46,ice cream,200,100
0.0,0.8282828282828284,3.606487316690257e-46,ice cream,200,100
0.0,0.8383838383838385,7.431533754394815e-46,ice cream,200,100
0.0,0.8484848484848485,6.620641925292638e-46,ice cream,200,100
0.0,0.8585858585858587,4.068674920385473e-46,ice cream,200,100
0.0,0.8686868686868687,1.0024803963879959e-45,ice cream,200,100
0.0,0.8787878787878789,6.387648326857749e-46,ice cream,200,100
0.0,0.888888888888889,1.0746572950437658e-45,ice cream,200,100
0.0,0.8989898989898991,6.416309366615409e-46,ice cream,200,100
0.0,0.9090909090909092,5.9870168311293966e-46,ice cream,200,100
0.0,0.9191919191919192,8.621940850316021e-46,ice cream,200,100
0.0,0.9292929292929294,6.970614361696271e-46,ice cream,200,100
0.0,0.9393939393939394,7.786724398643528e-46,ice cream,200,100
0.0,0.9494949494949496,4.784105743871169e-46,ice cream,200,100
0.0,0.9595959595959597,5.0826080551785365e-46,ice cream,200,100
0.0,0.9696969696969697,6.8318425572404134e-46,ice cream,200,100
0.0,0.9797979797979799,1.0900127713627354e-45,ice cream,200,100
0.0,0.98989898989899,6.0241149799818995e-46,ice cream,200,100
0.0,1.0,4.069144114135532e-46,ice cream,200,100
0.010101010101010102,0.0,0.010066940801467564,ice cream,200,100
0.010101010101010102,0.010101010101010102,0.008586622696837963,ice cream,200,100
0.010101010101010102,0.020202020202020204,0.0061449017274916255,ice cream,200,100
