myopia,shortcutiness,probability,goal,grass_capacity,population
0.0,0.0,2.863297636642152e-33,pain,200,100
0.0,0.010101010101010102,2.3683213280692354e-33,pain,200,100
0.0,0.020202020202020204,3.9077511876618026e-33,pain,200,100
0.0,0.030303030303030304,1.073783087495342e-33,pain,200,100
0.0,0.04040404040404041,8.025141796034665e-33,pain,200,100
0.0,0.05050505050505051,6.020627979113173e-34,pain,200,100
0.0,0.06060606060606061,3.4010160460472285e-33,pain,200,100
0.0,0.07070707070707072,1.1489242985779031e-32,pain,200,100
0.0,0.08080808080808081,1.8192561350604124e-33,pain,200,100
0.0,0.09090909090909091,1.345457758302458e-33,pain,200,100
0.0,0.10101010101010102,1.1271895285148853e-32,pain,200,100
0.0,0.11111111111111112,1.9536139653770487e-33,pain,200,100
0.0,0.12121212121212122,6.298432702892616e-33,pain,200,100
0.0,0.13131313131313133,1.2998681744711678e-33,pain,200,100
0.0,0.14141414141414144,1.0244531024219886e-33,pain,200,100
0.0,0.15151515151515152,2.434502995148109e-33,pain,200,100
0.0,0.16161616161616163,3.134884976900408e-33,pain,200,100
0.0,0.17171717171717174,2.037081950101684e-33,pain,200,100
0.0,0.18181818181818182,4.4092374849688324e-33,pain,200,100
0.0,0.19191919191919193,1.688812686055206e-33,pain,200,100
0.0,0.20202020202020204,3.961265077024617e-33,pain,200,100
0.0,0.21212121212121213,1.9406887943715044e-32,pain,200,100
0.0,0.22222222222222224,1.0079840143275595e-33,pain,200,100
0.0,0.23232323232323235,1.1895637182251258e-32,pain,200,100
0.0,0.24242424242424243,4.981746197373572e-33,pain,200,100
0.0,0.25252525252525254,3.337992472118443e-33,pain,200,100
0.0,0.26262626262626265,1.805440799134996e-33,pain,200,100
0.0,0.27272727272727276,1.1840408998561174e-33,pain,200,100
0.0,0.2828282828282829,1.5741090577771575e-33,pain,200,100
0.0,0.29292929292929293,2.656838874338431e-33,pain,200,100
0.0,0.30303030303030304,4.343707678607282e-33,pain,200,100
