myopia,shortcutiness,probability,goal,grass_capacity,population
0.0,0.0,1.6507681666808145e-14,police car,200,100
0.0,0.010101010101010102,3.772551383975178e-15,police car,200,100
0.0,0.020202020202020204,3.4338690564616607e-15,police car,200,100
0.0,0.030303030303030304,1.1999765039139308e-14,police car,200,100
0.0,0.04040404040404041,9.010861585074425e-15,police car,200,100
0.0,0.05050505050505051,7.398008737263632e-15,police car,200,100
0.0,0.06060606060606061,9.200340429226065e-16,police car,200,100
0.0,0.07070707070707072,7.433995047051066e-15,police car,200,100
0.0,0.08080808080808081,5.714303766114837e-15,police car,200,100
0.0,0.09090909090909091,6.967031636710879e-15,police car,200,100
0.0,0.10101010101010102,3.684991910758219e-15,police car,200,100
0.0,0.11111111111111112,1.6241998230322899e-15,police car,200,100
0.0,0.12121212121212122,4.511817724395872e-15,police car,200,100
0.0,0.13131313131313133,4.655312123905647e-15,police car,200,100
0.0,0.14141414141414144,1.3531230515474121e-14,police car,200,100
0.0,0.15151515151515152,4.563796064826887e-16,police car,200,100
0.0,0.16161616161616163,3.683825679770697e-15,police car,200,100
0.0,0.17171717171717174,1.0333168827846612e-15,police car,200,100
0.0,0.18181818181818182,2.4846813457251893e-15,police car,200,100
0.0,0.19191919191919193,1.1268410883999134e-15,police car,200,100
0.0,0.20202020202020204,2.337098477752785e-15,police car,200,100
0.0,0.21212121212121213,8.152299949289676e-15,police car,200,100
0.0,0.22222222222222224,2.280632776388293e-15,police car,200,100
0.0,0.23232323232323235,1.4638776086183613e-14,police car,200,100
0.0,0.24242424242424243,4.432149141173972e-15,police car,200,100
0.0,0.25252525252525254,2.1701899412194794e-15,police car,200,100
0.0,0.26262626262626265,4.01169331966251e-15,police car,200,100
0.0,0.27272727272727276,1.4908738177741461e-15,police car,200,100
0.0,0.2828282828282829,4.889911398387206e-15,police car,200,100
0.0,0.29292929292929293,1.175187209752423e-15,police car,200,100
0.0,0.30303030303030304,3.745155507143388e-15,police car,200,100
0.0,0.31313131313131315,8.865248886851186e-15,police car,200,100
0.0,0.32323232323232326,2.8732867926352365e-14,police car,200,100
0.0,0.33333333333333337,3.436939010530921e-15,police car,200,100
0.0,0.3434343434343435,2.385823170724325e-15,police car,200,100
0.0,0.3535353535353536,7.474721688452943e-15,police car,200,100
0.0,0.36363636363636365,6.589221941513103e-14,police car,200,100
0.0,0.37373737373737376,3.3851472883194008e-15,police car,200,100
0.0,0.38383838383838387,2.563494838824956e-15,police car,200,100
0.0,0.393939393939394,3.080517915737723e-14,police car,200,100
0.0,0.4040404040404041,2.06100833956467e-15,police car,200,100
0.0,0.4141414141414142,3.5759949428964904e-15,police car,200,100
0.0,0.42424242424242425,1.0268500582595035e-15,police car,200,100
0.0,0.43434343434343436,3.8574947715071455e-14,police car,200,100
0.0,0.4444444444444445,1.200086285370164e-14,police car,200,100
