myopia,shortcutiness,probability,goal,grass_capacity,population
0.0,0.0,0.00015844375134700623,vac clinic,200,100
0.0,0.010101010101010102,0.00013330934448126856,vac clinic,200,100
0.0,0.020202020202020204,0.000688393226715578,vac clinic,200,100
0.0,0.030303030303030304,0.0003573963099555662,vac clinic,200,100
0.0,0.04040404040404041,0.00010723203899205415,vac clinic,200,100
0.0,0.05050505050505051,0.000631754957093709,vac clinic,200,100
0.0,0.06060606060606061,0.00014805098684665007,vac clinic,200,100
0.0,0.07070707070707072,0.0004883199733431295,vac clinic,200,100
0.0,0.08080808080808081,0.0003318492988398405,vac clinic,200,100
0.0,0.09090909090909091,0.00040024303935776585,vac clinic,200,100
0.0,0.10101010101010102,0.0008211724851651446,vac clinic,200,100
0.0,0.11111111111111112,8.318351096844935e-05,vac clinic,200,100
0.0,0.12121212121212122,0.00010299438413091793,vac clinic,200,100
0.0,0.13131313131313133,0.0005692830332902888,vac clinic,200,100
0.0,0.14141414141414144,0.0007042237213120494,vac clinic,200,100
0.0,0.15151515151515152,0.00017804122403091213,vac clinic,200,100
0.0,0.16161616161616163,0.0001250482366808548,vac clinic,200,100
0.0,0.17171717171717174,0.00018474583310676656,vac clinic,200,100
0.0,0.18181818181818182,0.00017914031953972394,vac clinic,200,100
0.0,0.19191919191919193,0.0002162581746972498,vac clinic,200,100
0.0,0.20202020202020204,0.00015920090837539717,vac clinic,200,100
0.0,0.21212121212121213,0.00039016288608296985,vac clinic,200,100
0.0,0.22222222222222224,0.0008683480062587726,vac clinic,200,100
0.0,0.23232323232323235,0.00010326741145479889,vac clinic,200,100
0.0,0.24242424242424243,2.4485551671759747e-05,vac clinic,200,100
0.0,0.25252525252525254,0.00018951259320500812,vac clinic,200,100
0.0,0.26262626262626265,0.0003787944160640477,vac clinic,200,100
0.0,0.27272727272727276,9.530945059061189e-05,vac clinic,200,100
0.0,0.2828282828282829,0.0005823877759340604,vac clinic,200,100
0.0,0.29292929292929293,0.00014625045072203495,vac clinic,200,100
0.0,0.30303030303030304,0.000193455806458084,vac clinic,200,100
0.0,0.31313131313131315,6.696968385194724e-05,vac clinic,200,100
0.0,0.32323232323232326,0.0009129632630644278,vac clinic,200,100
0.0,0.33333333333333337,6.531557105000048e-09,vac clinic,200,100
0.0,0.3434343434343435,0.00019433168008643346,vac clinic,200,100
0.0,0.3535353535353536,3.758032538158472e-08,vac clinic,200,100
0.0,0.36363636363636365,1.2504751495086184e-17,vac clinic,200,100
0.0,0.37373737373737376,1.3712552813359934e-21,vac clinic,200,100
0.0,0.38383838383838387,6.264732782218366e-27,vac clinic,200,100
0.0,0.393939393939394,1.1444908032078337e-25,vac clinic,200,100
0.0,0.4040404040404041,1.4651684789185419e-30,vac clinic,200,100
0.0,0.4141414141414142,1.137195362386802e-30,vac clinic,200,100
0.0,0.42424242424242425,3.092684372895762e-34,vac clinic,200,100
0.0,0.43434343434343436,1.6814953451293946e-39,vac clinic,200,100
0.0,0.4444444444444445,1.0801702023090104e-47,vac clinic,200,100
0.0,0.4545454545454546,3.3000426377798853e-47,vac clinic,200,100
0.0,0.4646464646464647,6.85972401137789e-48,vac clinic,200,100
0.0,0.4747474747474748,2.8369357609242865e-47,vac clinic,200,100
0.0,0.48484848484848486,1.6227143893499948e-47,vac clinic,200,100
0.0,0.494949494949495,6.603469045959056e-48,vac clinic,200,100
0.0,0.5050505050505051,1.070393721379712e-47,vac clinic,200,100
0.0,0.5151515151515152,1.4409033043387319e-47,vac clinic,200,100
0.0,0.5252525252525253,5.2811075887234614e-49,vac clinic,200,100
0.0,0.5353535353535354,3.0340351551008363e-47,vac clinic,200,100
0.0,0.5454545454545455,1.2032948305514048e-48,vac clinic,200,100
0.0,0.5555555555555556,8.850090668102897e-48,vac clinic,200,100
0.0,0.5656565656565657,2.551021038686291e-47,vac clinic,200,100
0.0,0.5757575757575758,5.0147795920036376e-48,vac clinic,200,100
0.0,0.5858585858585859,2.22652934133821e-48,vac clinic,200,100
0.0,0.595959595959596,6.182827004085041e-48,vac clinic,200,100
0.0,0.6060606060606061,2.8450282915947395e-48,vac clinic,200,100
0.0,0.6161616161616162,1.6034487605559708e-47,vac clinic,200,100
0.0,0.6262626262626263,5.749209284876727e-48,vac clinic,200,100
0.0,0.6363636363636365,4.10344242898206e-47,vac clinic,200,100
0.0,0.6464646464646465,4.276233769386481e-48,vac clinic,200,100
0.0,0.6565656565656566,1.1259804079720034e-47,vac clinic,200,100
0.0,0.6666666666666667,3.435955233972886e-47,vac clinic,200,100
0.0,0.6767676767676768,6.462355175926817e-49,vac clinic,200,100
0.0,0.686868686868687,7.222984600174818e-48,vac clinic,200,100
0.0,0.696969696969697,1.1579957321200488e-47,vac clinic,200,100
0.0,0.7070707070707072,3.8923666209499694e-48,vac clinic,200,100
0.0,0.7171717171717172,5.209644721716695e-48,vac clinic,200,100
0.0,0.7272727272727273,1.2383123768946296e-47,vac clinic,200,100
0.0,0.7373737373737375,7.044007429085237e-48,vac clinic,200,100
0.0,0.7474747474747475,1.473372698390307e-48,vac clinic,200,100
0.0,0.7575757575757577,1.1934343915561532e-47,vac clinic,200,100
0.0,0.7676767676767677,6.374269724579837e-48,vac clinic,200,100
0.0,0.7777777777777778,2.3660556840098384e-48,vac clinic,200,100
0.0,0.787878787878788,1.8130128902069036e-47,vac clinic,200,100
0.0,0.797979797979798,1.3974166169545745e-48,vac clinic,200,100
0.0,0.8080808080808082,6.574789586645503e-48,vac clinic,200,100
