myopia,shortcutiness,probability,goal,grass_capacity,population
0.0,0.0,0.008682540586039914,vac clinic,200,100
0.0,0.010101010101010102,0.014854695002094761,vac clinic,200,100
0.0,0.020202020202020204,0.012186101943498766,vac clinic,200,100
0.0,0.030303030303030304,0.01229443066631598,vac clinic,200,100
0.0,0.04040404040404041,0.004120132044014865,vac clinic,200,100
0.0,0.05050505050505051,0.017161152105104646,vac clinic,200,100
0.0,0.06060606060606061,0.03350006294905679,vac clinic,200,100
0.0,0.07070707070707072,0.021340929249353827,vac clinic,200,100
0.0,0.08080808080808081,0.01854384844574416,vac clinic,200,100
0.0,0.09090909090909091,0.02719754047732611,vac clinic,200,100
0.0,0.10101010101010102,0.022188437928730098,vac clinic,200,100
0.0,0.11111111111111112,0.005385704704426244,vac clinic,200,100
0.0,0.12121212121212122,0.018671673660606306,vac clinic,200,100
0.0,0.13131313131313133,0.027940012709201135,vac clinic,200,100
0.0,0.14141414141414144,0.03292869915805148,vac clinic,200,100
0.0,0.15151515151515152,0.02483971928943051,vac clinic,200,100
0.0,0.16161616161616163,0.013421387356652343,vac clinic,200,100
0.0,0.17171717171717174,0.016261737258080246,vac clinic,200,100
0.0,0.18181818181818182,0.014273734748271726,vac clinic,200,100
0.0,0.19191919191919193,0.011413114211450833,vac clinic,200,100
0.0,0.20202020202020204,0.024436064810308432,vac clinic,200,100
0.0,0.21212121212121213,0.025525626347672425,vac clinic,200,100
0.0,0.22222222222222224,0.004394585012693763,vac clinic,200,100
0.0,0.23232323232323235,0.008629286811388737,vac clinic,200,100
0.0,0.24242424242424243,0.023036195101706746,vac clinic,200,100
0.0,0.25252525252525254,0.003753401657666066,vac clinic,200,100
0.0,0.26262626262626265,0.003538144345418397,vac clinic,200,100
0.0,0.27272727272727276,7.033987866083314e-07,vac clinic,200,100
0.0,0.2828282828282829,0.012374059341118139,vac clinic,200,100
0.0,0.29292929292929293,3.812344355098747e-07,vac clinic,200,100
0.0,0.30303030303030304,5.90054530618826e-20,vac clinic,200,100
0.0,0.31313131313131315,2.904653434927252e-29,vac clinic,200,100
0.0,0.32323232323232326,9.107456459986462e-20,vac clinic,200,100
0.0,0.33333333333333337,5.096544677552338e-46,vac clinic,200,100
0.0,0.3434343434343435,3.484420016145567e-46,vac clinic,200,100
0.0,0.3535353535353536,1.9751555108305585e-45,vac clinic,200,100
0.0,0.36363636363636365,3.207100790178275e-46,vac clinic,200,100
0.0,0.37373737373737376,1.6816246278516652e-46,vac clinic,200,100
0.0,0.38383838383838387,1.296990532782643e-45,vac clinic,200,100
0.0,0.393939393939394,5.587752321285008e-46,vac clinic,200,100
0.0,0.4040404040404041,2.290531829467781e-46,vac clinic,200,100
0.0,0.4141414141414142,7.18361117141431e-46,vac clinic,200,100
0.0,0.42424242424242425,8.473852007590326e-47,vac clinic,200,100
0.0,0.43434343434343436,2.850534636555054e-46,vac clinic,200,100
0.0,0.4444444444444445,6.651717528292279e-46,vac clinic,200,100
0.0,0.4545454545454546,1.6048915308350066e-46,vac clinic,200,100
0.0,0.4646464646464647,1.6814554247358204e-45,vac clinic,200,100
0.0,0.4747474747474748,6.20858214622196e-46,vac clinic,200,100
0.0,0.48484848484848486,4.980943261803788e-46,vac clinic,200,100
0.0,0.494949494949495,1.5385249858406688e-45,vac clinic,200,100
0.0,0.5050505050505051,3.705762926150661e-46,vac clinic,200,100
0.0,0.5151515151515152,3.157225831411337e-46,vac clinic,200,100
0.0,0.5252525252525253,6.644161327351206e-46,vac clinic,200,100
0.0,0.5353535353535354,1.868583960267776e-46,vac clinic,200,100
0.0,0.5454545454545455,9.0032013223054e-46,vac clinic,200,100
0.0,0.5555555555555556,3.856940728359875e-46,vac clinic,200,100
0.0,0.5656565656565657,4.690938916797955e-46,vac clinic,200,100
0.0,0.5757575757575758,4.8030947549565334e-45,vac clinic,200,100
0.0,0.5858585858585859,2.6357805677569905e-46,vac clinic,200,100
0.0,0.595959595959596,2.8725638831307037e-46,vac clinic,200,100
0.0,0.6060606060606061,3.1811529457829313e-46,vac clinic,200,100
0.0,0.6161616161616162,9.50086980902725e-47,vac clinic,200,100
0.0,0.6262626262626263,4.3035351051727076e-46,vac clinic,200,100
0.0,0.6363636363636365,6.841366412503647e-46,vac clinic,200,100
0.0,0.6464646464646465,9.896153864152144e-46,vac clinic,200,100
0.0,0.6565656565656566,3.4456167269037746e-46,vac clinic,200,100
0.0,0.6666666666666667,5.588954227787857e-46,vac clinic,200,100
0.0,0.6767676767676768,1.024349545136422e-45,vac clinic,200,100
0.0,0.686868686868687,2.931739240368759e-46,vac clinic,200,100
0.0,0.696969696969697,3.01880330513859e-45,vac clinic,200,100
0.0,0.7070707070707072,3.5234798341932503e-45,vac clinic,200,100
0.0,0.7171717171717172,5.2676386597983645e-46,vac clinic,200,100
0.0,0.7272727272727273,3.844336674723159e-46,vac clinic,200,100
0.0,0.7373737373737375,5.500670971155557e-46,vac clinic,200,100
0.0,0.7474747474747475,2.4557685732390796e-46,vac clinic,200,100
0.0,0.7575757575757577,1.8766502627576406e-46,vac clinic,200,100
0.0,0.7676767676767677,6.0755906541598205e-46,vac clinic,200,100
0.0,0.7777777777777778,1.2689569697567327e-46,vac clinic,200,100
0.0,0.787878787878788,2.241215554369864e-46,vac clinic,200,100
0.0,0.797979797979798,5.352015929523576e-46,vac clinic,200,100
0.0,0.8080808080808082,8.426265950624162e-46,vac clinic,200,100
0.0,0.8181818181818182,5.5069903230655e-46,vac clinic,200,100
0.0,0.8282828282828284,2.182740921441362e-46,vac clinic,200,100
0.0,0.8383838383838385,2.5816342325730846e-46,vac clinic,200,100
0.0,0.8484848484848485,2.0650849257057157e-46,vac clinic,200,100
0.0,0.8585858585858587,4.899891418874508e-46,vac clinic,200,100
0.0,0.8686868686868687,1.413119370922412e-45,vac clinic,200,100
0.0,0.8787878787878789,1.0168097568460735e-45,vac clinic,200,100
0.0,0.888888888888889,7.1907366032223e-46,vac clinic,200,100
0.0,0.8989898989898991,1.0184522345338001e-45,vac clinic,200,100
0.0,0.9090909090909092,1.551804440670011e-45,vac clinic,200,100
0.0,0.9191919191919192,8.612081741202172e-46,vac clinic,200,100
0.0,0.9292929292929294,1.2401156544019017e-45,vac clinic,200,100
0.0,0.9393939393939394,4.009316692958246e-46,vac clinic,200,100
0.0,0.9494949494949496,6.899863946371372e-46,vac clinic,200,100
0.0,0.9595959595959597,3.74889083102367e-46,vac clinic,200,100
0.0,0.9696969696969697,3.686288617862116e-46,vac clinic,200,100
0.0,0.9797979797979799,1.423669641536631e-45,vac clinic,200,100
0.0,0.98989898989899,1.034018519500333e-45,vac clinic,200,100
0.0,1.0,5.139532021747919e-46,vac clinic,200,100
0.010101010101010102,0.0,0.00673152087238113,vac clinic,200,100
0.010101010101010102,0.010101010101010102,0.0023882863424757963,vac clinic,200,100
0.010101010101010102,0.020202020202020204,0.0028414474653136344,vac clinic,200,100
0.010101010101010102,0.030303030303030304,0.014253815773902336,vac clinic,200,100
0.010101010101010102,0.04040404040404041,0.002739577090327896,vac clinic,200,100
0.010101010101010102,0.05050505050505051,0.008719900796772968,vac clinic,200,100
0.010101010101010102,0.06060606060606061,0.02538360253397527,vac clinic,200,100
0.010101010101010102,0.07070707070707072,0.018175841419963045,vac clinic,200,100
0.010101010101010102,0.08080808080808081,0.004474130679639228,vac clinic,200,100
0.010101010101010102,0.09090909090909091,0.0023460580369175504,vac clinic,200,100
0.010101010101010102,0.10101010101010102,0.003566921736643791,vac clinic,200,100
0.010101010101010102,0.11111111111111112,0.016258075783283442,vac clinic,200,100
0.010101010101010102,0.12121212121212122,0.0063648707713296875,vac clinic,200,100
0.010101010101010102,0.13131313131313133,0.011193838705994764,vac clinic,200,100
0.010101010101010102,0.14141414141414144,0.0064613116031453826,vac clinic,200,100
0.010101010101010102,0.15151515151515152,0.011922808681485892,vac clinic,200,100
0.010101010101010102,0.16161616161616163,0.0032234146037916616,vac clinic,200,100
0.010101010101010102,0.17171717171717174,0.012533794127542436,vac clinic,200,100
0.010101010101010102,0.18181818181818182,0.015384525515556732,vac clinic,200,100
0.010101010101010102,0.19191919191919193,0.016341497184414144,vac clinic,200,100
0.010101010101010102,0.20202020202020204,0.015603204781908108,vac clinic,200,100
0.010101010101010102,0.21212121212121213,0.006229125268675722,vac clinic,200,100
0.010101010101010102,0.22222222222222224,0.006454882695791529,vac clinic,200,100
0.010101010101010102,0.23232323232323235,0.010594831712664479,vac clinic,200,100
