grass_capacity,population,utility
10,100,-61.800727044620814
20,100,-66.0033675897022
30,100,-63.822904523116925
40,100,-65.5455595102182
50,100,-70.76530896932657
60,100,-69.02789136561648
70,100,-64.81144700728112
80,100,-62.07395099929729
90,100,-68.8619181007596
100,100,-69.19549731534067
110,100,-67.11585889775914
120,100,-70.93475018890965
130,100,-73.74250957463639
140,100,-73.32686657302362
150,100,-73.4049127707574
160,100,-58.34452722199349
170,100,-76.4872010448343
180,100,-65.43561592445415
190,100,-55.510627692813394
200,100,-63.39310048503807
