grass_capacity,population,utility
10,100,-42.96889844382087
20,100,-43.16635289825552
30,100,-44.72851233219574
40,100,-42.409851415625134
50,100,-45.51457924077658
60,100,-43.44246113215774
70,100,-43.804055142555924
80,100,-42.67301228333491
90,100,-43.49430454031458
100,100,-44.15905788205028
110,100,-44.38310876557977
120,100,-41.782170268085636
130,100,-44.976207658729
140,100,-41.56110709694605
150,100,-43.95436409753581
160,100,-44.09260512258672
170,100,-44.448894138810765
180,100,-41.737427330858694
190,100,-43.02973945767053
200,100,-44.189290578640154
