grass_capacity,population,utility
10,100,-71.88652073373758
20,100,-67.25932184637598
30,100,-66.54136018144028
40,100,-75.1077403133435
50,100,-74.8822467057893
60,100,-73.98042650263602
70,100,-74.82037267327529
80,100,-70.65172711293643
90,100,-76.86582702915763
100,100,-69.55356918311224
110,100,-76.04352062919943
120,100,-66.2516478151788
130,100,-72.04729377776326
140,100,-67.4303873700343
150,100,-71.23939219614579
160,100,-69.52041699632814
170,100,-73.59925478470454
180,100,-67.98506666390509
190,100,-68.94720505487285
200,100,-74.7525193790636
