grass_capacity,population,utility
10,100,-69.53616224170571
20,100,-69.98573225243412
30,100,-77.45667863986993
40,100,-71.02347141232802
50,100,-73.31006069545796
60,100,-67.27121758917175
70,100,-71.54877883111563
80,100,-67.01045115813035
90,100,-63.45645221577612
100,100,-72.51392048586027
110,100,-71.10139549132732
120,100,-66.86383531071269
130,100,-62.24782262472263
140,100,-66.81737826904065
150,100,-83.0505729241485
160,100,-71.77687322175586
170,100,-74.26159019823938
180,100,-75.6538339315682
190,100,-72.02351499184095
200,100,-70.30124078833563
