grass_capacity,population,utility
10,100,-46.079394332291194
20,100,-47.12048568432529
30,100,-52.556323793573355
40,100,-51.32446192775251
50,100,-48.263653187455176
60,100,-50.94680326514467
70,100,-47.04616174413414
80,100,-45.14687175353551
90,100,-46.709125796021915
100,100,-45.58632986344164
110,100,-48.800379272162694
120,100,-43.01263564595365
130,100,-50.57934012610045
140,100,-46.41612950755476
150,100,-49.935164879308694
160,100,-49.308689405295475
170,100,-48.03271486130283
180,100,-45.11028659570183
190,100,-48.41785655791773
200,100,-49.02766080096841
