rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,prolific_id,success,timeout,failed_images,failed_audio,failed_video,stimulus,trial_category,question_order,stimulus_name,question_text,slider_start,question
2995,"{""prolific_id"":""5f21d96867f00561a9d003cb""}",survey-text,0,3003,0.0-0.0,12,1,2024-07-18 20:05:34,5db0aa9e43fc9c8a5bdb015af86c687c,70.44.106.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Macintosh,Chrome,126.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",fl3ma9kwj,5f21d96867f00561a9d003cb,,,,,,,,,,,,
,,preload,1,3326,0.0-1.0,12,1,2024-07-18 20:05:34,5db0aa9e43fc9c8a5bdb015af86c687c,70.44.106.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Macintosh,Chrome,126.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",fl3ma9kwj,5f21d96867f00561a9d003cb,true,false,[],[],[],,,,,,,
4195, ,html-keyboard-response,2,7522,0.0-2.0,12,1,2024-07-18 20:05:34,5db0aa9e43fc9c8a5bdb015af86c687c,70.44.106.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Macintosh,Chrome,126.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",fl3ma9kwj,5f21d96867f00561a9d003cb,,,,,,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 10 minutes to complete. Please complete it in one sitting.</p>",,,,,,
2143,y,html-keyboard-response,3,9665,0.0-3.0,12,1,2024-07-18 20:05:34,5db0aa9e43fc9c8a5bdb015af86c687c,70.44.106.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Macintosh,Chrome,126.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",fl3ma9kwj,5f21d96867f00561a9d003cb,,,,,,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this study, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this study, you must read all the questions fully and answer honestly. You may only complete this study once. If you complete this study multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This study is part of a MIT scientific research project. Your decision to complete this study is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this study voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",,,,,,
42218,"{""instructions1"":""destinations and terrain""}",survey-text,4,51889,0.0-4.0,12,1,2024-07-18 20:05:34,5db0aa9e43fc9c8a5bdb015af86c687c,70.44.106.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Macintosh,Chrome,126.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",fl3ma9kwj,5f21d96867f00561a9d003cb,,,,,,,instructions,,,,,
20131,"{""instructions2"":""yes""}",survey-text,5,72022,0.0-5.0,12,1,2024-07-18 20:05:34,5db0aa9e43fc9c8a5bdb015af86c687c,70.44.106.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Macintosh,Chrome,126.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",fl3ma9kwj,5f21d96867f00561a9d003cb,,,,,,,instructions,,,,,
21167,"{""map_attention"":""Maps showing a small city, park, and destinations"",""squares_attention"":""Two terrains (grass and sidewalk) and three destinations (urgent care, bus stop, coffee shop)"",""answer_attention"":""Based on your own best judgment based on the map that you see, as well as your <i>own</i> common sense intuitions about towns and these kinds of destinations in general.""}",survey-multi-choice,6,93191,0.0-6.0,12,1,2024-07-18 20:05:34,5db0aa9e43fc9c8a5bdb015af86c687c,70.44.106.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Macintosh,Chrome,126.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",fl3ma9kwj,5f21d96867f00561a9d003cb,,,,,,,,"[0,1,2]",,,,
23638,"{""Q0"":""5""}",survey-text,7,116838,0.0-7.0,12,1,2024-07-18 20:05:34,5db0aa9e43fc9c8a5bdb015af86c687c,70.44.106.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Macintosh,Chrome,126.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",fl3ma9kwj,5f21d96867f00561a9d003cb,,,,,,,image_question_trial,,img/map3.png,How many people do you think will go to the urgent care center today?,,
14948,100,html-slider-response,8,131784,0.0-8.0,12,1,2024-07-18 20:05:34,5db0aa9e43fc9c8a5bdb015af86c687c,70.44.106.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Macintosh,Chrome,126.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",fl3ma9kwj,5f21d96867f00561a9d003cb,,,,,,"<div style='text-align:center;'><p>In this park, there is a sign which reads 'Do not walk on the grass'.</p><div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1.png' style='width:460px; height:auto;' /></div></div>",slider_trial,,img/map1.png,,50,How important is it to go to the coffee shop?
14931,51,html-slider-response,9,146714,0.0-9.0,12,1,2024-07-18 20:05:34,5db0aa9e43fc9c8a5bdb015af86c687c,70.44.106.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Macintosh,Chrome,126.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",fl3ma9kwj,5f21d96867f00561a9d003cb,,,,,,"<div style='text-align:center;'><p>In this park, there is a sign which reads 'Do not walk on the grass'.</p><div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1.png' style='width:460px; height:auto;' /></div></div>",slider_trial,,img/map1.png,,50,How important is it to go to the bus stop?
