stimulus_name,response,mean,variance
img/map1_bus_grass_shortest.png,"[40, 41, 0, 100, 7, 20, 57, 94, 76, 0]",43.5,1266.85
img/map1_bus_grass_wandering.png,"[24, 30, 0, 95, 28, 14, 50, 93, 73, 0]",40.7,1139.4099999999999
img/map1_bus_sidewalk_shortest.png,"[98, 98, 100, 100, 100, 99, 100, 100, 88, 100]",98.3,12.41
img/map1_coffee_grass_shortest.png,"[32, 55, 0, 100, 0, 31, 99, 100, 76, 15]",50.8,1500.5600000000002
img/map1_coffee_grass_wandering.png,"[31, 41, 9, 50, 12, 26, 58, 100, 76, 33]",43.6,726.24
img/map1_coffee_sidewalk_shortest.png,"[100, 54, 100, 100, 100, 90, 100, 100, 79, 100]",92.3,206.41
img/map1_hospital_grass_shortest.png,"[18, 91, 0, 100, 100, 69, 100, 100, 81, 45]",70.4,1239.04
img/map1_hospital_grass_wandering.png,"[29, 40, 0, 51, 68, 18, 46, 100, 72, 25]",44.9,775.49
img/map1_hospital_sidewalk_shortest.png,"[100, 61, 100, 100, 100, 96, 48, 100, 75, 100]",88.0,342.6
img/map2_bus_grass_shortest.png,"[28, 49, 0, 100, 23, 70, 45, 100, 77, 14]",50.6,1116.0399999999997
img/map2_bus_grass_wandering.png,"[32, 40, 0, 66, 37, 32, 42, 100, 73, 0]",42.2,865.7599999999999
img/map2_bus_sidewalk_shortest.png,"[87, 97, 100, 100, 100, 100, 100, 100, 78, 100]",96.2,51.760000000000005
img/map2_coffee_grass_shortest.png,"[36, 70, 2, 100, 20, 60, 66, 100, 76, 20]",55.0,1048.2
img/map2_coffee_grass_wandering.png,"[35, 35, 0, 38, 20, 69, 50, 100, 75, 22]",44.4,795.04
img/map2_coffee_sidewalk_shortest.png,"[89, 81, 100, 76, 100, 100, 100, 100, 80, 100]",92.6,91.04
img/map2_hospital_grass_shortest.png,"[35, 95, 0, 100, 100, 67, 100, 100, 79, 49]",72.5,1081.85
img/map2_hospital_grass_wandering.png,"[33, 37, 0, 61, 100, 14, 45, 98, 78, 0]",46.6,1237.24
img/map2_hospital_sidewalk_shortest.png,"[92, 55, 100, 100, 100, 100, 100, 100, 79, 100]",92.6,198.23999999999998
img/map3_bus_grass_shortest.png,"[39, 74, 0, 100, 30, 20, 61, 100, 76, 0]",50.0,1279.4
img/map3_bus_grass_wandering.png,"[37, 32, 0, 89, 25, 7, 54, 100, 75, 39]",45.8,1007.36
img/map3_bus_sidewalk_shortest.png,"[84, 100, 100, 100, 100, 100, 100, 100, 76, 100]",96.0,67.2
img/map3_coffee_grass_shortest.png,"[31, 55, 0, 100, 25, 29, 44, 100, 76, 23]",48.3,1036.4100000000003
img/map3_coffee_grass_wandering.png,"[28, 34, 0, 29, 24, 24, 46, 100, 74, 34]",39.3,723.6099999999999
img/map3_coffee_sidewalk_shortest.png,"[82, 91, 100, 100, 100, 100, 100, 100, 81, 100]",95.4,55.44
img/map3_hospital_grass_shortest.png,"[28, 74, 0, 100, 100, 78, 100, 100, 78, 18]",67.6,1305.44
img/map3_hospital_grass_wandering.png,"[26, 51, 0, 29, 74, 18, 37, 99, 77, 18]",42.9,893.6899999999999
img/map3_hospital_sidewalk_shortest.png,"[71, 39, 72, 44, 100, 100, 91, 100, 79, 100]",79.6,484.2399999999999
