rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,prolific_id,success,timeout,failed_images,failed_audio,failed_video,stimulus,trial_category,question_order,slider_start,stimulus_name
13248,"{""prolific_id"":""664769791843dcc7d0f6cc1e""}",survey-text,0,13272,0.0-0.0,12,1,2024-07-18 20:14:09,f601377285a5b1d9cf715ba604643eb5,38.186.160.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",cwvomor9l,664769791843dcc7d0f6cc1e,,,,,,,,,,
,,preload,1,25358,0.0-1.0,12,1,2024-07-18 20:14:09,f601377285a5b1d9cf715ba604643eb5,38.186.160.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",cwvomor9l,664769791843dcc7d0f6cc1e,true,false,[],[],[],,,,,
6883, ,html-keyboard-response,2,32243,0.0-2.0,12,1,2024-07-18 20:14:09,f601377285a5b1d9cf715ba604643eb5,38.186.160.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",cwvomor9l,664769791843dcc7d0f6cc1e,,,,,,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 10 minutes to complete. Please complete it in one sitting.</p>",,,,
5966,y,html-keyboard-response,3,38210,0.0-3.0,12,1,2024-07-18 20:14:09,f601377285a5b1d9cf715ba604643eb5,38.186.160.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",cwvomor9l,664769791843dcc7d0f6cc1e,,,,,,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this study, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this study, you must read all the questions fully and answer honestly. You may only complete this study once. If you complete this study multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This study is part of a MIT scientific research project. Your decision to complete this study is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this study voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",,,,
47484,"{""instructions1"":""3 common destinations""}",survey-text,4,85731,0.0-4.0,12,1,2024-07-18 20:14:09,f601377285a5b1d9cf715ba604643eb5,38.186.160.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",cwvomor9l,664769791843dcc7d0f6cc1e,,,,,,,instructions,,,
53308,"{""instructions2"":""Yes""}",survey-text,5,139051,0.0-5.0,12,1,2024-07-18 20:14:09,f601377285a5b1d9cf715ba604643eb5,38.186.160.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",cwvomor9l,664769791843dcc7d0f6cc1e,,,,,,,instructions,,,
77081,"{""map_attention"":""A person travelling through the park"",""squares_attention"":""Two terrains (grass and sidewalk) and three destinations (school, train station, ice cream shop)"",""answer_attention"":""Based on your own best judgment based on the map that you see, as well as your <i>own</i> common sense intuitions about towns and these kinds of destinations in general.""}",survey-multi-choice,6,216136,0.0-6.0,12,1,2024-07-18 20:14:09,f601377285a5b1d9cf715ba604643eb5,38.186.160.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",cwvomor9l,664769791843dcc7d0f6cc1e,,,,,,,,"[0,1,2]",,
20977,100,html-slider-response,7,237118,0.0-7.0,12,1,2024-07-18 20:14:09,f601377285a5b1d9cf715ba604643eb5,38.186.160.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",cwvomor9l,664769791843dcc7d0f6cc1e,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map2_hospital_sidewalk_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map2_hospital_sidewalk_shortest.png
12096,0,html-slider-response,8,249216,0.0-8.0,12,1,2024-07-18 20:14:09,f601377285a5b1d9cf715ba604643eb5,38.186.160.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",cwvomor9l,664769791843dcc7d0f6cc1e,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1_coffee_grass_wandering.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map1_coffee_grass_wandering.png
19437,0,html-slider-response,9,268655,0.0-9.0,12,1,2024-07-18 20:14:09,f601377285a5b1d9cf715ba604643eb5,38.186.160.35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",WebKit,Chrome,125.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",cwvomor9l,664769791843dcc7d0f6cc1e,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map3_bus_grass_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map3_bus_grass_shortest.png
