rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,prolific_id,success,timeout,failed_images,failed_audio,failed_video,stimulus,trial_category,question_order,slider_start,stimulus_name,question,question_text
3514,"{""prolific_id"":""663a615ba58b866e61ee4ea0""}",survey-text,0,3521,0.0-0.0,10,1,2024-07-22 20:23:00,d4b919bb9f8cb88ab53fc0d7de3685e9,23.28.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9,es-US;q=0.8,es;q=0.7",o67vag8d2,663a615ba58b866e61ee4ea0,,,,,,,,,,,,
,,preload,1,4165,0.0-1.0,10,1,2024-07-22 20:23:00,d4b919bb9f8cb88ab53fc0d7de3685e9,23.28.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9,es-US;q=0.8,es;q=0.7",o67vag8d2,663a615ba58b866e61ee4ea0,true,false,[],[],[],,,,,,,
2813, ,html-keyboard-response,2,6979,0.0-2.0,10,1,2024-07-22 20:23:00,d4b919bb9f8cb88ab53fc0d7de3685e9,23.28.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9,es-US;q=0.8,es;q=0.7",o67vag8d2,663a615ba58b866e61ee4ea0,,,,,,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 5 minutes to complete. Please complete it in one sitting.</p>",,,,,,
21607,y,html-keyboard-response,3,28586,0.0-3.0,10,1,2024-07-22 20:23:00,d4b919bb9f8cb88ab53fc0d7de3685e9,23.28.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9,es-US;q=0.8,es;q=0.7",o67vag8d2,663a615ba58b866e61ee4ea0,,,,,,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this study, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this study, you must read all the questions fully and answer honestly. You may only complete this study once. If you complete this study multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This study is part of a MIT scientific research project. Your decision to complete this study is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this study voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",,,,,,
56718,"{""instructions1"":""The common destinations and terrain within a park and the surrounding areas""}",survey-text,4,85308,0.0-4.0,10,1,2024-07-22 20:23:00,d4b919bb9f8cb88ab53fc0d7de3685e9,23.28.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9,es-US;q=0.8,es;q=0.7",o67vag8d2,663a615ba58b866e61ee4ea0,,,,,,,instructions,,,,,
13851,"{""instructions2"":""Yes""}",survey-text,5,99161,0.0-5.0,10,1,2024-07-22 20:23:00,d4b919bb9f8cb88ab53fc0d7de3685e9,23.28.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9,es-US;q=0.8,es;q=0.7",o67vag8d2,663a615ba58b866e61ee4ea0,,,,,,,instructions,,,,,
34845,"{""map_attention"":""Maps showing a small city, park, and destinations"",""squares_attention"":""Two terrains (grass and sidewalk) and three destinations (urgent care, bus stop, coffee shop)"",""answer_attention"":""Based on your own best judgment based on the map that you see, as well as your <i>own</i> common sense intuitions about towns and these kinds of destinations in general.""}",survey-multi-choice,6,134006,0.0-6.0,10,1,2024-07-22 20:23:00,d4b919bb9f8cb88ab53fc0d7de3685e9,23.28.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9,es-US;q=0.8,es;q=0.7",o67vag8d2,663a615ba58b866e61ee4ea0,,,,,,,,"[0,1,2]",,,,
22765,18,html-slider-response,7,156779,0.0-7.0,10,1,2024-07-22 20:23:00,d4b919bb9f8cb88ab53fc0d7de3685e9,23.28.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9,es-US;q=0.8,es;q=0.7",o67vag8d2,663a615ba58b866e61ee4ea0,,,,,,"<div style='text-align:center;'><p>Here is a particular map of a park. In this park, there is also a clearly marked sign that everyone can read, which reads, “Do not walk on the grass”, as shown below. Please take 30 seconds to look at this map and think about the sign and the park before answering the questions about this particular park.</p><div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1.png' style='width:460px; height:auto;' /></div></div>",slider_trial,,50,img/map1.png,"Of the about 100 people who travel through this area, what percentage do you think go to the coffee shop on any given day?",
7069,21,html-slider-response,8,163849,0.0-8.0,10,1,2024-07-22 20:23:00,d4b919bb9f8cb88ab53fc0d7de3685e9,23.28.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9,es-US;q=0.8,es;q=0.7",o67vag8d2,663a615ba58b866e61ee4ea0,,,,,,"<div style='text-align:center;'><p>Here is a particular map of a park. In this park, there is also a clearly marked sign that everyone can read, which reads, “Do not walk on the grass”, as shown below. Please take 30 seconds to look at this map and think about the sign and the park before answering the questions about this particular park.</p><div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1.png' style='width:460px; height:auto;' /></div></div>",slider_trial,,50,img/map1.png,"Of the about 100 people who travel through this area, what percentage do you think go to the bus stop on any given day?",
3932,7,html-slider-response,9,167783,0.0-9.0,10,1,2024-07-22 20:23:00,d4b919bb9f8cb88ab53fc0d7de3685e9,23.28.185.253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",WebKit,Chrome,126.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9,es-US;q=0.8,es;q=0.7",o67vag8d2,663a615ba58b866e61ee4ea0,,,,,,"<div style='text-align:center;'><p>Here is a particular map of a park. In this park, there is also a clearly marked sign that everyone can read, which reads, “Do not walk on the grass”, as shown below. Please take 30 seconds to look at this map and think about the sign and the park before answering the questions about this particular park.</p><div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1.png' style='width:460px; height:auto;' /></div></div>",slider_trial,,50,img/map1.png,"Of the about 100 people who travel through this area, what percentage do you think go to the urgent care center on any given day?",
