stimulus_name,response,mean,variance
img/map1_bus_grass_shortest.png,"[0, 2, 14, 29, 0, 23, 0, 7, 0, 0]",7.5,105.65
img/map1_bus_grass_wandering.png,"[0, 0, 9, 34, 0, 23, 0, 1, 0, 0]",6.7,131.81
img/map1_bus_sidewalk_shortest.png,"[100, 100, 100, 71, 100, 100, 100, 100, 99, 100]",97.0,75.2
img/map1_coffee_grass_shortest.png,"[0, 6, 15, 30, 0, 39, 49, 3, 0, 0]",14.2,307.55999999999995
img/map1_coffee_grass_wandering.png,"[0, 4, 10, 36, 0, 14, 0, 4, 1, 0]",6.9,114.88999999999999
img/map1_coffee_sidewalk_shortest.png,"[100, 98, 93, 56, 100, 100, 100, 100, 100, 100]",94.7,170.81
img/map1_hospital_grass_shortest.png,"[69, 1, 41, 41, 0, 37, 50, 7, 0, 0]",24.6,599.04
img/map1_hospital_grass_wandering.png,"[0, 3, 14, 37, 0, 21, 0, 4, 1, 0]",8.0,139.2
img/map1_hospital_sidewalk_shortest.png,"[100, 96, 99, 70, 100, 100, 100, 100, 99, 100]",96.4,78.84
img/map2_bus_grass_shortest.png,"[0, 1, 19, 31, 0, 39, 0, 8, 3, 0]",10.1,189.69
img/map2_bus_grass_wandering.png,"[0, 6, 15, 10, 0, 27, 0, 3, 1, 0]",6.2,71.56
img/map2_bus_sidewalk_shortest.png,"[100, 100, 96, 50, 100, 100, 100, 100, 100, 100]",94.6,222.43999999999997
img/map2_coffee_grass_shortest.png,"[0, 0, 25, 61, 33, 31, 51, 4, 23, 0]",22.8,434.36
img/map2_coffee_grass_wandering.png,"[0, 2, 24, 35, 0, 19, 22, 3, 0, 0]",10.5,155.65
img/map2_coffee_sidewalk_shortest.png,"[100, 100, 84, 69, 100, 100, 100, 100, 100, 100]",95.3,99.61
img/map2_hospital_grass_shortest.png,"[0, 1, 20, 38, 13, 36, 74, 2, 18, 0]",20.2,503.35999999999996
img/map2_hospital_grass_wandering.png,"[0, 2, 22, 63, 12, 27, 14, 0, 0, 0]",14.0,356.6
img/map2_hospital_sidewalk_shortest.png,"[100, 100, 85, 86, 100, 100, 100, 100, 99, 100]",97.0,33.2
img/map3_bus_grass_shortest.png,"[0, 1, 9, 32, 0, 33, 0, 10, 0, 0]",8.5,157.25
img/map3_bus_grass_wandering.png,"[0, 3, 6, 37, 0, 22, 10, 11, 0, 0]",8.9,132.69
img/map3_bus_sidewalk_shortest.png,"[100, 94, 80, 82, 100, 100, 100, 100, 100, 100]",95.6,56.639999999999986
img/map3_coffee_grass_shortest.png,"[0, 3, 4, 33, 0, 18, 13, 1, 0, 0]",7.2,108.96
img/map3_coffee_grass_wandering.png,"[0, 0, 14, 34, 11, 23, 0, 1, 0, 0]",8.3,131.41000000000003
img/map3_coffee_sidewalk_shortest.png,"[100, 90, 85, 73, 100, 87, 100, 100, 100, 100]",93.5,80.05
img/map3_hospital_grass_shortest.png,"[0, 4, 11, 51, 13, 50, 34, 25, 0, 0]",18.8,365.36
img/map3_hospital_grass_wandering.png,"[0, 2, 11, 71, 0, 24, 34, 3, 2, 0]",14.7,475.00999999999993
img/map3_hospital_sidewalk_shortest.png,"[100, 93, 88, 73, 100, 100, 100, 100, 100, 100]",95.4,71.03999999999999
