rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,prolific_id,success,timeout,failed_images,failed_audio,failed_video,stimulus,trial_category,question_order,slider_start,stimulus_name
3203,"{""prolific_id"":""5f8c5938b9fa883a8a59107f""}",survey-text,0,3215,0.0-0.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,,,,,
,,preload,1,4809,0.0-1.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,true,false,[],[],[],,,,,
1652, ,html-keyboard-response,2,6462,0.0-2.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 10 minutes to complete. Please complete it in one sitting.</p>",,,,
2219,y,html-keyboard-response,3,8682,0.0-3.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this study, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this study, you must read all the questions fully and answer honestly. You may only complete this study once. If you complete this study multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This study is part of a MIT scientific research project. Your decision to complete this study is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this study voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",,,,
33333,"{""instructions1"":""destinations in a park""}",survey-text,4,42023,0.0-4.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,,instructions,,,
35794,"{""instructions2"":""Yes""}",survey-text,5,77824,0.0-5.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,,instructions,,,
25330,"{""map_attention"":""A person traveling through the park"",""squares_attention"":""Two terrains (grass and sidewalk) and three destinations (urgent care, bus stop, coffee shop)"",""answer_attention"":""Based on your own best judgment based on the map that you see, as well as your <i>own</i> common sense intuitions about towns and these kinds of destinations in general.""}",survey-multi-choice,6,103165,0.0-6.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,,,"[0,1,2]",,
9181,51,html-slider-response,7,112355,0.0-7.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1_bus_grass_wandering.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map1_bus_grass_wandering.png
4846,100,html-slider-response,8,117204,0.0-8.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map3_bus_sidewalk_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map3_bus_sidewalk_shortest.png
9542,48,html-slider-response,9,126748,0.0-9.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map3_coffee_grass_wandering.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map3_coffee_grass_wandering.png
4453,100,html-slider-response,10,131203,0.0-10.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map2_bus_sidewalk_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map2_bus_sidewalk_shortest.png
6246,51,html-slider-response,11,137451,0.0-11.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map3_hospital_grass_wandering.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map3_hospital_grass_wandering.png
6189,69,html-slider-response,12,143643,0.0-12.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1_coffee_grass_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map1_coffee_grass_shortest.png
5206,100,html-slider-response,13,148851,0.0-13.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1_coffee_sidewalk_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map1_coffee_sidewalk_shortest.png
5166,100,html-slider-response,14,154019,0.0-14.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map2_hospital_sidewalk_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map2_hospital_sidewalk_shortest.png
11701,51,html-slider-response,15,165724,0.0-15.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map2_bus_grass_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map2_bus_grass_shortest.png
3957,54,html-slider-response,16,169683,0.0-16.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map2_coffee_grass_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map2_coffee_grass_shortest.png
6815,47,html-slider-response,17,176500,0.0-17.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map3_coffee_grass_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map3_coffee_grass_shortest.png
4541,71,html-slider-response,18,181044,0.0-18.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map2_hospital_grass_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map2_hospital_grass_shortest.png
3741,100,html-slider-response,19,184788,0.0-19.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map2_coffee_sidewalk_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map2_coffee_sidewalk_shortest.png
4134,49,html-slider-response,20,188924,0.0-20.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1_coffee_grass_wandering.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map1_coffee_grass_wandering.png
5133,44,html-slider-response,21,194059,0.0-21.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map2_coffee_grass_wandering.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map2_coffee_grass_wandering.png
7021,75,html-slider-response,22,201084,0.0-22.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map3_hospital_grass_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map3_hospital_grass_shortest.png
5357,49,html-slider-response,23,206444,0.0-23.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1_hospital_grass_wandering.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map1_hospital_grass_wandering.png
5853,100,html-slider-response,24,212300,0.0-24.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map1_hospital_sidewalk_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map1_hospital_sidewalk_shortest.png
4253,100,html-slider-response,25,216555,0.0-25.0,1,1,2024-07-22 20:20:40,866eb5410fc55685cfd7219525660524,73.45.14.235,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",WebKit,Chrome,109.0.0.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.9",wphde3w8l,5f8c5938b9fa883a8a59107f,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/sign.png' style='width:140px; height:auto; margin-right:10px;' /><img src='img/map3_hospital_sidewalk_shortest.png' style='width:460px; height:auto;' /></div>,image_trial,,50,img/map3_hospital_sidewalk_shortest.png
