rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,prolific_id,success,timeout,failed_images,failed_audio,failed_video,stimulus,trial_category,question_order,slider_start,stimulus_name
6639,"{""prolific_id"":""669a9a0de19a9b9247fa8fc8""}",survey-text,0,6657,0.0-0.0,2,1,2024-07-20 04:27:35,c42334ae11bd6e373fa9fec6f52302a2,104.251.81.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,,Firefox,128.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.5",mrz53222h,669a9a0de19a9b9247fa8fc8,,,,,,,,,,
,,preload,1,14783,0.0-1.0,2,1,2024-07-20 04:27:35,c42334ae11bd6e373fa9fec6f52302a2,104.251.81.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,,Firefox,128.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.5",mrz53222h,669a9a0de19a9b9247fa8fc8,true,false,[],[],[],,,,,
9620, ,html-keyboard-response,2,24406,0.0-2.0,2,1,2024-07-20 04:27:35,c42334ae11bd6e373fa9fec6f52302a2,104.251.81.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,,Firefox,128.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.5",mrz53222h,669a9a0de19a9b9247fa8fc8,,,,,,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 10 minutes to complete. Please complete it in one sitting.</p>",,,,
7655,y,html-keyboard-response,3,32062,0.0-3.0,2,1,2024-07-20 04:27:35,c42334ae11bd6e373fa9fec6f52302a2,104.251.81.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,,Firefox,128.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.5",mrz53222h,669a9a0de19a9b9247fa8fc8,,,,,,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this study, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this study, you must read all the questions fully and answer honestly. You may only complete this study once. If you complete this study multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This study is part of a MIT scientific research project. Your decision to complete this study is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this study voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",,,,
80166,"{""instructions1"":""A pack and the surrounding areas in a medium-sized town""}",survey-text,4,112237,0.0-4.0,2,1,2024-07-20 04:27:35,c42334ae11bd6e373fa9fec6f52302a2,104.251.81.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,,Firefox,128.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.5",mrz53222h,669a9a0de19a9b9247fa8fc8,,,,,,,instructions,,,
102198,"{""instructions2"":""Yes""}",survey-text,5,214446,0.0-5.0,2,1,2024-07-20 04:27:35,c42334ae11bd6e373fa9fec6f52302a2,104.251.81.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,,Firefox,128.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.5",mrz53222h,669a9a0de19a9b9247fa8fc8,,,,,,,instructions,,,
83116,"{""map_attention"":""A person traveling through the park"",""squares_attention"":""Two terrains (grass and sidewalk) and three destinations (urgent care, bus stop, coffee shop)"",""answer_attention"":""Based on your own best judgment based on the map that you see, as well as your <i>own</i> common sense intuitions about towns and these kinds of destinations in general.""}",survey-multi-choice,6,297569,0.0-6.0,2,1,2024-07-20 04:27:35,c42334ae11bd6e373fa9fec6f52302a2,104.251.81.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,,Firefox,128.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.5",mrz53222h,669a9a0de19a9b9247fa8fc8,,,,,,,,"[0,1,2]",,
16750,100,html-slider-response,7,314324,0.0-7.0,2,1,2024-07-20 04:27:35,c42334ae11bd6e373fa9fec6f52302a2,104.251.81.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,,Firefox,128.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.5",mrz53222h,669a9a0de19a9b9247fa8fc8,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_coffee_sidewalk_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_coffee_sidewalk_shortest.png
13256,31,html-slider-response,8,327585,0.0-8.0,2,1,2024-07-20 04:27:35,c42334ae11bd6e373fa9fec6f52302a2,104.251.81.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,,Firefox,128.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.5",mrz53222h,669a9a0de19a9b9247fa8fc8,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map1_coffee_grass_wandering.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map1_coffee_grass_wandering.png
13508,36,html-slider-response,9,341098,0.0-9.0,2,1,2024-07-20 04:27:35,c42334ae11bd6e373fa9fec6f52302a2,104.251.81.105,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0,,Firefox,128.0,Windows,10.0,https://app.prolific.com/,"en-US,en;q=0.5",mrz53222h,669a9a0de19a9b9247fa8fc8,,,,,,<div style='display:flex; justify-content:center; align-items:center;'><img src='img/map2_coffee_grass_shortest.png' style='width:600px; height:auto;' /></div>,image_trial,,50,img/map2_coffee_grass_shortest.png
